Sl No.,Bank Name,Scheme Name,Product type,Loan Amount,Tenure,Interest Rate,Processing Fee,Collateral
1,State Bank of India,SME eBiz Loan,Cash credit,Rs.500 lakh,Based on loan terms,8.2% - 9.1% p.a. + applicable spread,"First year - 1% of sanctioned amount plus taxes
2nd year onwards - 0.35% plus taxes","At least 35% in the form of land/building, liquid securities, etc."
2,State Bank of India,Simplified Small Business Loan,Dropline overdraft facility,Rs.25 lakh,12 months to 60 months,8.2% - 9.1% p.a. + applicable spread,-,Minimum 40%
3,State Bank of India,Standup India,Working Capital or term loan,Rs.1 crore,Up to 7 years (incl. 18-month moratorium),8.2% - 9.1% p.a. + 3.35%,0.20% of loan amount,Not required
4,State Bank of India,SME Smart Score,Cash credit or term loan,Rs.50 lakh for manufacturing units and Rs.25 lakh for trade and services,Up to 7 years,8.2% - 9.1% p.a. + 2.65%,As per bank's terms and conditions,As per bank's extent norms
5,State Bank of India,SME Credit Card,Term loan or cash credit,Rs.10 lakh,Up to 7 years,8.2% - 9.1% p.a. + 2.50%,As applicable to SBF and SSI units,"No collateral for SSI but for SBFs, loans over Rs.25,000 will require a collateral/guarantee"
6,State Bank of India,Doctor Plus,Term loan,Rs.5 crore,Up to 7 years,8.2% - 9.1% p.a. + 2.00% to 2.50%,50% concession on card rates,"No collateral required for loans up to Rs.2 crore. For loans above Rs.2 crore and up to Rs.5 crore, 25% tangible security needs to be provided"
7,State Bank of India,Medical Equipment Finance,Term loan,Rs.20 crore,Based on equipment type,8.2% - 9.1% p.a. + 2.00% to 2.50%,50% concession on rate cards,"No collateral required for loans up to Rs.2 crore. For loans above Rs.2 crore and up to Rs.20 crore, 25% tangible security needs to be provided"
8,State Bank of India,E Dealer Finance Scheme,Cash credit,Based on requirement,Up to 90 days,8.2% - 9.1% p.a. + 0.55% to 3.00%,"Rs.10,000 to Rs.30,000",Up to 50% based on the tie-up
9,State Bank of India,E Vendor Finance Scheme,Cash credit,Based on requirement,As per receivables' tenure,8.2% - 9.1% p.a.,"Rs.10,000 to Rs.50,000",Nil
10,State Bank of India,Asset-backed loan,Dropline overdraft,Rs.20 crore,12 months to 20 years,8.2% - 9.1% p.a. + 2.30%,1% of the limit,Immovable property in the form of registered or equitable mortgage of land or building
11,State Bank of India,Fleet Finance,Term Loan,Rs.10 crore,Up to 5.5 years (negotiable),8.2% - 9.1% p.a. + 0.75% to 3.25%,1% of the limit,"No collateral required for loans up to Rs.1 crore. For loans over Rs.1 crore, at least 20% of the tangible asset needs to be provided as collateral"
12,State Bank of India,PM Mudra Yojana,Working capital and term loan,Up to Rs.10 lakh,3 to 5 years,8.2% - 9.1% p.a. + applicable spread,0.5% of loan amount,Not required
13,State Bank of India,Export Packing Credit,Working capital,Based on requirement,Up to 180 days,8.2% - 9.1% p.a.,As per working capital/cash credit limits,As per working capital/cash credit limits
14,State Bank of India,Lease Rental Discounting,Term Loan,Rs.50 crore,Variable (based on lease),8.2% - 9.1% p.a. + 3.10% to 3.60%,As per existing instructions,Equitable mortgage or any other acceptable property
15,State Bank of India,Open Term Loan,Information Not Available,Information Not Available,Up to 8 years,8.2% - 9.1% p.a. + applicable spread,Information Not Available,Information Not Available
16,State Bank of India,Warehouse Receipt Finance,Working capital demand loan/cash credit facility/revolving demand loan,Based on requirement and eligibility,12 months (Working Capital Demand Loan),8.2% - 9.1% p.a.,Nil to Rs.3 lakh,"Personal guarantee of directors, partners, etc."
17,Axis Bank,MSE Power,"Term loan and working capital requirement including letter of credit, rupee export credit, bank guarantee, etc.",Rs.10 lakh to Rs.5 crore,1-5 years,9.5% - 12.5% p.a.,0.25% to 1% of the loan amount,100% of loan amount
18,Axis Bank,Services Power,"Working capital and term loan requirement including cash credit, letter of credit, inland bill discounting, rupee export credit, etc.",Rs.10 lakh to Rs.5 crore,1-5 years,9.5% - 12.5% p.a.,0.25% to 1% of the loan amount,100% of loan amount
19,Axis Bank,SME Power,"Working capital and term loan requirements including inland bill discounting, cash credit, bank guarantee, etc.",Rs.10 lakh to Rs.5 crore,1-5 years,9.5% - 12.5% p.a.,0.25% to 1% of the loan amount,125%
20,Axis Bank,Business MPower Overdraft,Overdraft facility,Rs.10 lakh to Rs.5 crore,Renewable every 12 months,9.5% - 12.0% p.a.,0.50% of the overdraft limit,"Residential, commercial, and industrial property to be provided as collateral"
